model_type,features_used,model_params,train_rmse,val_rmse,train_mape (%),val_mape (%)
arima,N/A,,149722.9262516921,174567.554651755,42.25132196157789,26.82310162612064
sarimax,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#9_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_1_RollingMean12', 'Clean_Fra_Lag_12', '#6_Lag_1_RollingMean3', '#3_Lag_1_RollingMean3', '#12_Lag_1', '#4_Lag_6_RollingMean6', 'SundayCount', 'Clean_Ita_Lag_12', 'Clean_US_Lag_12_RollingMean6', '#16_Lag_1', '#11_Lag_1_RollingMean6']",,241670.56072500607,921626.1653211429,54.50784225470976,279.283199310983
prophet,N/A,,,228090.08387064873,,37.78314676630125
RandomForestRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#9_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_1_RollingMean12', 'Clean_Fra_Lag_12', '#6_Lag_1_RollingMean3', '#3_Lag_1_RollingMean3', '#12_Lag_1', '#4_Lag_6_RollingMean6', 'SundayCount', 'Clean_Ita_Lag_12', 'Clean_US_Lag_12_RollingMean6', '#16_Lag_1', '#11_Lag_1_RollingMean6']",{'max_depth': 5},39709.852865473746,174609.6993033156,10.69949492519801,25.270137197834952
RandomForestRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#9_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_1_RollingMean12', 'Clean_Fra_Lag_12', '#6_Lag_1_RollingMean3', '#3_Lag_1_RollingMean3', '#12_Lag_1', '#4_Lag_6_RollingMean6', 'SundayCount', 'Clean_Ita_Lag_12', 'Clean_US_Lag_12_RollingMean6', '#16_Lag_1', '#11_Lag_1_RollingMean6']","{'n_estimators': 200, 'max_depth': 6}",41753.29323729293,181112.2765165202,10.569971351140715,24.342126059794843
XGBRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#9_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_1_RollingMean12', 'Clean_Fra_Lag_12', '#6_Lag_1_RollingMean3', '#3_Lag_1_RollingMean3', '#12_Lag_1', '#4_Lag_6_RollingMean6', 'SundayCount', 'Clean_Ita_Lag_12', 'Clean_US_Lag_12_RollingMean6', '#16_Lag_1', '#11_Lag_1_RollingMean6']","{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}",2.8696989862577076,180158.98259037765,0.0007561431175417965,24.165646731853485
XGBRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#9_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_1_RollingMean12', 'Clean_Fra_Lag_12', '#6_Lag_1_RollingMean3', '#3_Lag_1_RollingMean3', '#12_Lag_1', '#4_Lag_6_RollingMean6', 'SundayCount', 'Clean_Ita_Lag_12', 'Clean_US_Lag_12_RollingMean6', '#16_Lag_1', '#11_Lag_1_RollingMean6']","{'n_estimators': 100, 'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.1, 'learning_rate': 0.05}",26257.04324557508,187306.22080432886,5.918104574084282,30.18091917037964
XGBRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#9_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_1_RollingMean12', 'Clean_Fra_Lag_12', '#6_Lag_1_RollingMean3', '#3_Lag_1_RollingMean3', '#12_Lag_1', '#4_Lag_6_RollingMean6', 'SundayCount', 'Clean_Ita_Lag_12', 'Clean_US_Lag_12_RollingMean6', '#16_Lag_1', '#11_Lag_1_RollingMean6']","{'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.1, 'learning_rate': 0.01}",77538.26822930726,174820.74751012822,21.821221709251404,28.059545159339905
LGBMRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#9_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_1_RollingMean12', 'Clean_Fra_Lag_12', '#6_Lag_1_RollingMean3', '#3_Lag_1_RollingMean3', '#12_Lag_1', '#4_Lag_6_RollingMean6', 'SundayCount', 'Clean_Ita_Lag_12', 'Clean_US_Lag_12_RollingMean6', '#16_Lag_1', '#11_Lag_1_RollingMean6']","{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 31, 'max_depth': -1}",123369.68005180932,170244.86978503063,37.55765542901307,28.551066169041974
LGBMRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#9_Lag_1_RollingMean3', 'Clean_Chi_Lag_12', '#9_Lag_1_RollingMean12', 'Clean_Fra_Lag_12', '#6_Lag_1_RollingMean3', '#3_Lag_1_RollingMean3', '#12_Lag_1', '#4_Lag_6_RollingMean6', 'SundayCount', 'Clean_Ita_Lag_12', 'Clean_US_Lag_12_RollingMean6', '#16_Lag_1', '#11_Lag_1_RollingMean6']","{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 31, 'max_depth': -1}",123369.68005180932,170244.86978503063,37.55765542901307,28.551066169041974
