model_type,features_used,train_rmse,val_rmse,train_mape (%),val_mape (%)
arima,N/A,8175464.475036016,3096606.963876512,18.58658069221523,7.022982569897672
sarimax,"['Clean_Fra', 'GER Production Index', 'Clean_US']",9800478.589393128,11868762.395343255,33.09883099061726,26.698797759944938
prophet,N/A,,3515061.89158761,,8.027691001908366
QuantileRegressor,"['Clean_Fra', 'GER Production Index', 'Clean_US']",6887399.850258768,2887703.859343784,28.353167491405134,5.724822781004335
arima,N/A,8175464.475036016,3096606.963876512,18.58658069221523,7.022982569897672
sarimax,"['GER Production Index', 'Clean_Fra', 'Clean_Swi', 'Month', 'Clean_US']",10084029.103307376,10704767.378388198,32.97667683608552,24.22467619849201
prophet,N/A,,3515061.89158761,,8.027691001908366
QuantileRegressor,"['GER Production Index', 'Clean_Fra', 'Clean_Swi', 'Month', 'Clean_US']",6887399.850258768,2887703.859343784,28.353167491405134,5.724822781004335
arima,N/A,8175464.475036016,3096606.963876512,18.58658069221523,7.022982569897672
prophet,N/A,,3515061.89158761,,8.027691001908366
DummyRegressor,[],6516173.360672605,3730840.9587284764,27.367478211353557,6.928118817302263
XGBoost,"['Clean_Fra', 'GER Production Index', 'Clean_US']",5.6597046813485,5022371.869688664,1.3299992929205473e-05,11.711254715919495
SVR,"['Clean_Fra', 'GER Production Index', 'Clean_US']",6887399.040957318,2887704.197157308,28.353162745759313,5.7248273104729925
SVR,"['Clean_Fra', 'GER Production Index', 'Clean_US']",6887399.040957318,2887704.197157308,28.353162745759313,5.7248273104729925
SVR,"['Clean_Fra', 'GER Production Index', 'Clean_US']",6887399.040957318,2887704.197157308,28.353162745759313,5.7248273104729925
SVR,"['Clean_Fra', 'GER Production Index', 'Clean_US']",35848576.736011,37727967.50132301,99.99979199286014,99.99982315390756
arima,N/A,7535587.921021883,4086392.7073146957,12.09607312185044,9.757961254952505
sarimax,"['CHI Production Index_Lag_12_RollingMean3', 'CC_UK_Lag_12_RollingMean3', '#14_Lag_1_RollingMean6', '#5_Lag_1', 'Clean_US_Lag_12', '#12_Lag_1_RollingMean6', '#9_Lag_12', '#4_Lag_6', '#3_Lag_1_RollingMean3', '#5_Lag_1_RollingMean3', 'Clean_UK_Lag_12', 'Clean_Ita_Lag_12_RollingMean3', 'sin_Quarter', 'ITA EE Producer Prices_Lag_12', 'GER EE Production Index_Lag_12_RollingMean3', 'Fossil_Fra_Lag_12']",18557148.486772187,19448962.063308224,18.279488797208707,34.13092899463182
prophet,N/A,,4517789.556035171,,9.376254567881064
XGBoost,"['CHI Production Index_Lag_12_RollingMean3', 'CC_UK_Lag_12_RollingMean3', '#14_Lag_1_RollingMean6', '#5_Lag_1', 'Clean_US_Lag_12', '#12_Lag_1_RollingMean6', '#9_Lag_12', '#4_Lag_6', '#3_Lag_1_RollingMean3', '#5_Lag_1_RollingMean3', 'Clean_UK_Lag_12', 'Clean_Ita_Lag_12_RollingMean3', 'sin_Quarter', 'ITA EE Producer Prices_Lag_12', 'GER EE Production Index_Lag_12_RollingMean3', 'Fossil_Fra_Lag_12']",4.751909574849246,5751627.2430205345,9.877253148715681e-06,12.859062850475311
QuantileRegressor,"['CHI Production Index_Lag_12_RollingMean3', 'CC_UK_Lag_12_RollingMean3', '#14_Lag_1_RollingMean6', '#5_Lag_1', 'Clean_US_Lag_12', '#12_Lag_1_RollingMean6', '#9_Lag_12', '#4_Lag_6', '#3_Lag_1_RollingMean3', '#5_Lag_1_RollingMean3', 'Clean_UK_Lag_12', 'Clean_Ita_Lag_12_RollingMean3', 'sin_Quarter', 'ITA EE Producer Prices_Lag_12', 'GER EE Production Index_Lag_12_RollingMean3', 'Fossil_Fra_Lag_12']",3700755.0988261364,2887703.859343784,8.059114333958101,5.724822781004335
QuantileRegressor,"['CHI Production Index_Lag_12_RollingMean3', 'CC_UK_Lag_12_RollingMean3', '#14_Lag_1_RollingMean6', '#5_Lag_1', 'Clean_US_Lag_12', '#12_Lag_1_RollingMean6', '#9_Lag_12', '#4_Lag_6', '#3_Lag_1_RollingMean3', '#5_Lag_1_RollingMean3', 'Clean_UK_Lag_12', 'Clean_Ita_Lag_12_RollingMean3', 'sin_Quarter', 'ITA EE Producer Prices_Lag_12', 'GER EE Production Index_Lag_12_RollingMean3', 'Fossil_Fra_Lag_12']",3700755.0988261364,2887703.859343784,8.059114333958101,5.724822781004335
NuSVR,"['CHI Production Index_Lag_12_RollingMean3', 'CC_UK_Lag_12_RollingMean3', '#14_Lag_1_RollingMean6', '#5_Lag_1', 'Clean_US_Lag_12', '#12_Lag_1_RollingMean6', '#9_Lag_12', '#4_Lag_6', '#3_Lag_1_RollingMean3', '#5_Lag_1_RollingMean3', 'Clean_UK_Lag_12', 'Clean_Ita_Lag_12_RollingMean3', 'sin_Quarter', 'ITA EE Producer Prices_Lag_12', 'GER EE Production Index_Lag_12_RollingMean3', 'Fossil_Fra_Lag_12']",123573.97348091913,169132.95901191764,38.53445370503531,29.7814159704473
